Property_ID,room,layout_type,property_type,locality,area,furnish_type,bathroom,city,parking_spaces,floor,pet_friendly,power_backup,washing_machine,air_conditioner,geyser/solar,security_deposit,CCTV/security,lift,neighbourhood,Price
27345,1,BHK,Independent House,Whitefield Hope Farm Junction,1088,Semi-Furnished,1,Bangalore,1,5,1,0,1,1,0,175749,1,0,700,26170.41051
111493,1,BHK,Studio Apartment,Worli,605,Furnished,1,Mumbai,0,1,0,0,0,1,1,15072,0,0,600,4252.276417
176972,3,BHK,Apartment,Aundh,1005,Furnished,4,Pune,1,5,0,0,0,1,1,29715,1,0,1900,8993.731687
66650,3,RK,Apartment,Sarvpriya Vihar,639,Semi-Furnished,3,Delhi,1,18,1,1,1,1,1,131576,1,1,3300,22606.47726
72437,1,BHK,Apartment,Khirki Extension,580,Unfurnished,1,Delhi,0,9,0,0,0,0,1,26005,0,1,1600,5883.44361
150183,1,RK,Apartment,Mulund West,648,Unfurnished,1,Mumbai,0,5,0,1,0,0,1,66456,1,0,1300,11630.64746
88724,3,BHK,Apartment,Anjaiah Nagar,1667,Semi-Furnished,2,Hyderabad,1,15,1,1,1,1,1,317112,1,1,100,45400.82735
118553,1,BHK,Independent House,Kharghar,794,Unfurnished,1,Mumbai,0,8,0,1,0,0,0,352430,0,1,1400,49491.03264
181341,1,BHK,Independent Floor,Wagholi,788,Unfurnished,1,Pune,1,14,0,0,0,0,0,62645,1,1,800,10165.54139
82963,3,BHK,Apartment,Kothapet,2827,Unfurnished,2,Hyderabad,1,13,0,1,0,0,1,271248,1,1,200,39956.29105
12955,3,BHK,Apartment,Vastrapur,1401,Semi-Furnished,2,Ahmedabad,0,3,1,0,1,1,0,467908,1,0,600,65077.0804
29502,3,BHK,Apartment,Horamavu,1381,Semi-Furnished,1,Bangalore,1,9,0,1,1,1,1,139158,1,1,3500,23376.3423
41617,3,BHK,Apartment,Nungambakkam,538,Semi-Furnished,1,Chennai,0,10,0,0,1,1,0,92024,1,1,2900,15805.58274
41509,2,RK,Apartment,Adyar,1132,Unfurnished,2,Chennai,0,14,1,1,0,0,1,84486,1,1,2700,18309.22828
69313,3,BHK,Apartment,Jasola,1837,Semi-Furnished,2,Delhi,1,4,0,0,1,1,0,218520,1,0,100,31911.21555
97406,1,BHK,Studio Apartment,Keshtopur,937,Furnished,1,Kolkata,0,5,1,0,0,1,1,34035,0,0,400,7396.954289
174324,1,RK,Apartment,Nanded,810,Unfurnished,1,Pune,0,3,0,0,0,0,0,37830,0,0,900,7336.868911
55659,3,BHK,Apartment,Malviya Nagar,887,Furnished,2,Delhi,1,10,0,0,0,1,0,130380,1,1,200,22588.22981
179478,2,RK,Apartment,Viman Nagar,776,Unfurnished,2,Pune,0,13,0,1,0,0,1,92904,1,1,2600,19528.69715
10551,2,BHK,Independent House,Sola,1076,Semi-Furnished,2,Ahmedabad,0,13,0,1,1,1,0,243296,1,1,1600,33862.96729
190994,1,BHK,Apartment,Kharadi,8072,Unfurnished,2,Pune,0,11,1,0,0,0,0,140371,0,1,100,23426.64369
91036,1,BHK,Apartment,Hafeezpet,1301,Unfurnished,4,Hyderabad,0,2,0,0,0,0,0,20876,0,0,1300,6037.470141
158286,3,BHK,Apartment,Chembur East,1083,Semi-Furnished,2,Mumbai,1,8,1,1,1,1,1,1740851,0,1,1600,242012.5336
72193,1,BHK,Apartment,Safdarjung Enclave,827,Furnished,1,Delhi,1,2,0,1,0,1,1,9360,0,0,2700,3480.383824
132331,2,BHK,Apartment,Thane West,843,Semi-Furnished,4,Mumbai,1,17,0,0,1,1,1,86296,0,1,1800,17416.53483
128176,3,BHK,Apartment,Chembur,1789,Semi-Furnished,3,Mumbai,1,3,0,0,1,1,1,436008,1,0,1200,61154.36323
115379,1,BHK,Apartment,Kandivali East,781,Unfurnished,3,Mumbai,1,17,0,1,0,0,1,50096,1,1,1200,12244.85785
145478,3,BHK,Apartment,Chembur,711,Unfurnished,1,Mumbai,0,9,1,1,0,0,0,49259,1,1,3900,11925.28385
174209,1,RK,Apartment,Wagholi,764,Unfurnished,1,Pune,1,19,0,0,0,0,1,2198540,1,1,3000,323322.7208
147350,3,BHK,Apartment,Juhu,2022,Semi-Furnished,2,Mumbai,1,6,0,0,1,1,0,117909,1,0,3900,21333.95097
